Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN
TFGD.L,Tabula Global High Yield Fallen Angels Paris-aligned Climate UCITS ETF GBP Hedged Dist,"0,55%",Distribution,Échantillonnage,IE000LSFKN16
IE000Y6L6LE6.SG,Xtrackers EMU Net Zero Pathway Paris Aligned UCITS ETF 1C 1C,"0,15%",Capitalisation,Réplication complète,IE000Y6L6LE6
INQQ.L,HANetf INQQ India Internet UCITS ETF Acc,"0,86%",Capitalisation,Réplication complète,IE000WYTQSF9
BNKT.AS,iShares S&P U.S. Banks UCITS ETF USD (Dist),"0,35%",Distribution,Réplication complète,IE000ZPUEP93
WCPA.MI,SPDR MSCI World Climate Paris Aligned UCITS ETF USD Unhedged (Acc),"0,15%",Capitalisation,Réplication complète,IE00BYTH5594
IE000JUREXG2.SG,JPMorgan EUR Government Bond Active UCITS ETF EUR (acc),"0,15%",Capitalisation,Réplication complète,IE000JUREXG2
CH1218734544.SG,Hashdex Crypto Momentum Factor ETN,"1,49%",Capitalisation,Physiquement garanti,CH1218734544
FTCS.L,First Trust Capital Strength UCITS ETF Acc,"0,60%",Capitalisation,Réplication complète,IE00BL0L0D23
HCGG.L,HSBC China Government Local Bond UCITS ETF S GBP Hedged,"0,20%",Distribution,Échantillonnage,IE0009PACXU3
COIY.L,IncomeShares Coinbase (COIN) Options ETP,"0,55%",Distribution,Réplication complète,XS2901886445
IE000QOLLXO2.SG,JPMorgan Europe Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (dist),"0,25%",Distribution,Réplication complète,IE000QOLLXO2
IE000GYDNJS5.SG,Xtrackers MSCI USA Climate Transition UCITS ETF 1D 1D,"0,04%",Distribution,Réplication complète,IE000GYDNJS5
V3SU.AS,Vanguard ESG USD Corporate Bond UCITS ETF (USD) Distributing,"0,11%",Distribution,Échantillonnage,IE000RO1O3N4
UBXX.L,UBS J.P. Morgan USD EM Diversified Bond 1-5 UCITS ETF hGBP dis,"0,38%",Distribution,Échantillonnage,LU1645386647
FESE.DE,Fidelity ESG USD EM Bond UCITS ETF INC-Euro (hedged),"0,50%",Distribution,Réplication complète,IE0007L3IJF6
EEIP.L,WisdomTree Europe Equity Income UCITS ETF Acc,"0,29%",Capitalisation,Réplication complète,IE00BDF16007
IE00BF92J153.SG,L&G Digital Payments UCITS ETF,"0,49%",Capitalisation,Réplication complète,IE00BF92J153
VEGB.L,VanEck Sustainable Future of Food UCITS ETF A,"0,45%",Capitalisation,Réplication complète,IE0005B8WVT6
JSEE.L,JPMorgan Europe Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),"0,25%",Capitalisation,Réplication complète,IE0003UN5CT1
29IT.AS,iShares iBonds Dec 2029 Term USD Treasury UCITS ETF USD (Dist),"0,10%",Distribution,Échantillonnage,IE00076HZIP3
DXSG.DE,Xtrackers MSCI Europe Communication Services Screened UCITS ETF 1C 1C,"0,17%",Capitalisation,Réplication complète,LU0292104030
QNXT.AS,iShares Nasdaq 100 ex-Top 30 UCITS ETF USD (Acc),"0,30%",Capitalisation,Échantillonnage optimisé,IE000SVXJH05
EGRW.L,WisdomTree Eurozone Quality Dividend Growth UCITS ETF EUR Dist,"0,29%",Distribution,Réplication complète,IE00BZ56SY76
27IT.AS,iShares iBonds Dec 2027 Term USD Treasury UCITS ETF USD (Dist),"0,10%",Distribution,Échantillonnage,IE0006UGU3X3
FUSP.L,Fidelity US Quality Income UCITS ETF Acc (GBP Hedged),"0,30%",Capitalisation,Réplication complète,IE00BYV03C98
IE0009SJ3GE3.SG,Amundi S&P Global Energy Carbon Reduced UCITS ETF DR EUR (D),"0,18%",Distribution,Réplication complète,IE0009SJ3GE3
AHYC.DE,Amundi Index Euro Corporate SRI UCITS ETF DR Hedged USD (C),"0,18%",Capitalisation,Échantillonnage,LU2469335884
JPGD.DE,JPMorgan Active US Growth UCITS ETF USD (dist),"0,49%",Distribution,Réplication complète,IE0003KQ8JX1
ESGJ.L,Invesco MSCI Japan ESG Universal Screened UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,IE00BMDBMV87
IE0007WJ6B10.SG,Xtrackers MSCI Global Clean Water & Sanitation UCITS ETF 1C 1C,"0,35%",Capitalisation,Réplication complète,IE0007WJ6B10
IE00BYTH5T38.SG,SPDR S&P Euro Dividend Aristocrats Screened UCITS ETF EUR Unhedged (Dist),"0,30%",Distribution,Réplication complète,IE00BYTH5T38
MEDTE.PA,BNP Paribas Easy ECPI Global ESG Med Tech UCITS ETF EUR,"0,31%",Capitalisation,Réplication complète,LU2365457410
IE000WP7CVZ7.SG,Amundi S&P Global Materials ESG UCITS ETF DR EUR (D),"0,18%",Distribution,Réplication complète,IE000WP7CVZ7
IE000HPBRE54.SG,Goldman Sachs Paris-Aligned Climate World Equity UCITS ETF USD (Acc),"0,24%",Capitalisation,Réplication complète,IE000HPBRE54
MEGA.DE,Amundi MSCI USA Mega Cap UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,IE000YBGJ9I4
IT29.L,iShares iBonds Dec 2029 Term USD Treasury UCITS ETF USD (Acc),"0,10%",Capitalisation,Échantillonnage,IE00055OM853
IE000EBPC0Z7.SG,Franklin MSCI China Paris Aligned Climate UCITS ETF,"0,22%",Capitalisation,Réplication complète,IE000EBPC0Z7
CH1129538448.SG,21Shares Polygon ETP,"2,50%",Capitalisation,Physiquement garanti,CH1129538448
CHPS.L,First Trust Bloomberg Global Semiconductor Supply Chain UCITS ETF Class A Accumulation,"0,60%",Capitalisation,Réplication complète,IE000KXTLDE2
XM29.DE,Xtrackers II Target Maturity Sept 2029 EUR Corporate Bond UCITS ETF 1C,"0,12%",Capitalisation,Échantillonnage,LU2673522913
AK8G.DE,Amundi Fixed Maturity 2027 German Bund Government Bond UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU2780871823
GB00BNRRG624.SG,CoinShares Physical Uniswap,"1,50%",Capitalisation,Physiquement garanti,GB00BNRRG624
28IY.DE,iShares iBonds Dec 2028 Term EUR Italy Government Bond UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE000Q2EQ5K8
PUIP.L,Invesco USD IG Corporate Bond ESG Climate Transition UCITS ETF GBP Hedged Dist,"0,12%",Distribution,Échantillonnage,IE00BJ06C481
CSOL.SW,21Shares Solana Core Staking ETP,"0,35%",Capitalisation,Physiquement garanti,CH1385084384
CODO.L,WisdomTree AT1 CoCo Bond UCITS ETF USD Hedged,"0,39%",Distribution,Échantillonnage,IE00BFNNN012
VGGE.DE,Vanguard Global Government Bond UCITS ETF EUR Hedged Distributing,"0,10%",Distribution,Échantillonnage,IE0003HUCA83
BRND.L,WisdomTree Bloomberg Brent Crude Oil,"0,25%",Capitalisation,Basée sur swap,IE00BVFZGD11
IE0006FFX5U1.SG,Xtrackers MSCI Innovation UCITS ETF 1C 1C,"0,30%",Capitalisation,Réplication complète,IE0006FFX5U1
MKUW.L,Invesco MSCI Kuwait UCITS ETF Acc,"0,50%",Capitalisation,Basée sur swap non financé,IE00BK63RN45
IE0004U3TX15.SG,L&G Metaverse ESG Exclusions UCITS ETF USD Accumulating,"0,39%",Capitalisation,Réplication complète,IE0004U3TX15
BS7A.L,Invesco BulletShares 2027 USD Corporate Bond UCITS ETF Acc,"0,10%",Capitalisation,Échantillonnage,IE0001XIQ4D9
FSOV.AS,First Trust Low Duration Global Government Bond UCITS ETF EUR Hedged dist,"0,55%",Distribution,Réplication complète,IE00BKS2X317
LC39.DE,Amundi Lifecycle 2039 UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU2872292243
PRUB.L,Amundi USD Corporate Bond UCITS ETF GBP Hedged Dist,"0,09%",Distribution,Échantillonnage,LU2621112452
IE00BNKF6C99.SG,Xtrackers MSCI Europe Consumer Discretionary Screened UCITS ETF 1C,"0,17%",Capitalisation,Réplication complète,IE00BNKF6C99
TGGD.L,Tabula GCC Sovereign USD Bonds UCITS ETF (USD) GBP Hedged Dist,"0,50%",Distribution,Réplication complète,IE000LJG9WK1
IE0001J5A2T9.SG,VanEck Circular Economy UCITS ETF A,"0,40%",Capitalisation,Réplication complète,IE0001J5A2T9
UEDD.AS,iShares USD Ultrashort Bond ESG SRI UCITS ETF (Dist),"0,09%",Distribution,Échantillonnage,IE00BJP26C72
JAUD.DE,JPMorgan Active US Equity UCITS ETF USD (dist),"0,39%",Distribution,Réplication complète,IE0007ILCZU4
SEUA.DE,SPDR Bloomberg 0-3 Year Euro Corporate Bond UCITS ETF EUR Unhedged (Acc),"0,20%",Capitalisation,Échantillonnage,IE000IUNJSL2
10AM.DE,Amundi Global Aggregate Bond UCITS ETF DR (D),"0,10%",Distribution,Échantillonnage,LU1737654019
XIFE.DE,Xtrackers Global Infrastructure ESG UCITS ETF 1C 1C,"0,35%",Capitalisation,Réplication complète,IE00BYZNF849
BD30.DE,Invesco BulletShares 2030 EUR Corporate Bond UCITS ETF Dist,"0,10%",Distribution,Échantillonnage,IE000W6YTDH7
JPHC.PA,Amundi ETF JPX Nikkei 400 UCITS ETF Daily Hedged CHF,"0,18%",Capitalisation,Basée sur swap non financé,LU1681047665
BT27.MI,Amundi Fixed Maturity 2027 Italy BTP Government Bond UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU2780872128
IE00BKX90X67.SG,Tabula US Enhanced Inflation UCITS ETF EUR Hedged Acc,"0,34%",Capitalisation,Basée sur swap,IE00BKX90X67
LC36.PA,Amundi Lifecycle 2036 UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU2872292169
BSE0.DE,Invesco BulletShares 2030 EUR Corporate Bond UCITS ETF Acc,"0,10%",Capitalisation,Échantillonnage,IE000I25S1V5
LU2278080713.SG,Xtrackers Bloomberg Commodity Swap UCITS ETF 1C,"0,19%",Capitalisation,Basée sur swap non financé,LU2278080713
LU2881684745.SG,BNP Paribas Easy Sustainable Europe UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,LU2881684745
LC30.DE,Amundi Lifecycle 2030 UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU2872291948
GB1E.DE,Invesco Global High Yield Corporate Bond ESG Climate Transition UCITS ETF EUR PfHdg Acc,"0,30%",Capitalisation,Échantillonnage,IE000XG0ZRI7
IE0001JH5CB4.SG,Xtrackers Europe Net Zero Pathway Paris Aligned UCITS ETF 1C,"0,15%",Capitalisation,Réplication complète,IE0001JH5CB4
RU2K.L,iShares Russell 2000 Swap UCITS ETF USD (ACC),"0,20%",Capitalisation,Basée sur swap,IE0007O06KL9
QTOP.AS,iShares Nasdaq 100 Top 30 UCITS ETF USD (Acc),"0,30%",Capitalisation,Réplication complète,IE000Z7P04F4
SC0I.DE,Invesco MSCI Japan UCITS ETF Acc,"0,12%",Capitalisation,Basée sur swap non financé,IE00B60SX287
XBHR.DE,L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF USD Acc,"0,12%",Capitalisation,Échantillonnage,IE000CWS09Q9
XBGG.L,Xtrackers II ESG Global Aggregate Bond UCITS ETF 3D - GBP Hedged,"0,10%",Distribution,Échantillonnage,LU0942970368
IE000QLV3SY5.SG,Franklin MSCI Emerging Markets Paris Aligned Climate UCITS ETF,"0,18%",Capitalisation,Réplication complète,IE000QLV3SY5
IE000H0TSO96.SG,Franklin Euro IG Corporate UCITS ETF (Dis),"0,15%",Distribution,Réplication complète,IE000H0TSO96
BSE9.DE,Invesco BulletShares 2029 EUR Corporate Bond UCITS ETF Acc,"0,10%",Capitalisation,Échantillonnage,IE000P5IB8I8
QCLU.L,First Trust Nasdaq Clean Edge Green Energy UCITS ETF Acc,"0,60%",Capitalisation,Réplication complète,IE00BDBRT036
ISRD.PA,Amundi Label ISR Credit USD UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,FR001400SDQ1
SPYY.L,IncomeShares S&P 500 Options (0DTE) ETP,"0,45%",Distribution,Réplication complète,XS2875106242
IE000KD0BZ68.SG,Xtrackers MSCI Genomic Healthcare Innovation UCITS ETF 1C 1C,"0,30%",Capitalisation,Réplication complète,IE000KD0BZ68
ASWL.DE,Rex Tech Innovation Income & Growth UCITS ETF,"0,65%",Distribution,Réplication complète,IE000OBK3UE0
VGGP.L,Vanguard Global Government Bond UCITS ETF GBP Hedged Distributing,"0,10%",Distribution,Échantillonnage,IE000A2E14U6
JAVD.L,JPMorgan Active US Value UCITS ETF USD (dist),"0,49%",Distribution,Réplication complète,IE000DTA2ZH9
VPAC.L,Invesco Variable Rate Preferred Shares UCITS ETF A,"0,50%",Capitalisation,Réplication complète,IE00BHJYDT11
IE00BKVKW020.SG,First Trust Value Line® Dividend Index UCITS ETF Acc,"0,70%",Capitalisation,Réplication complète,IE00BKVKW020
IE00BN4Q0933.SG,UBS MSCI Europe Climate Paris Aligned UCITS ETF EUR acc,"0,15%",Capitalisation,Réplication complète,IE00BN4Q0933
JUSH.MI,JPMorgan Active US Equity UCITS ETF EUR Hedged (acc),"0,40%",Capitalisation,Réplication complète,IE000BZFW5H7
VLED.PA,BNP Paribas Easy ESG Low Volatility Europe UCITS ETF,"0,31%",Distribution,Basée sur swap non financé,LU1481201025
ECTA.DE,iShares MSCI Europe Climate Transition Aware UCITS ETF EUR (Acc),"0,12%",Capitalisation,Réplication complète,IE000U3XZQN5
TPHC.PA,Amundi Japan Topix UCITS ETF Daily Hedged CHF,"0,48%",Capitalisation,Basée sur swap non financé,LU1681038169
MLUX.PA,Amundi PEA Luxe Monde UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR001400S9V0
IE000LZ7BZW8.SG,iShares iBonds Dec 2026 Term EUR Italy Government Bond UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE000LZ7BZW8
LC33.DE,Amundi Lifecycle 2033 UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU2872292086
BSE8.DE,Invesco BulletShares 2028 EUR Corporate Bond UCITS ETF Acc,"0,10%",Capitalisation,Échantillonnage,IE00079EUF59
XDNU.L,Xtrackers MSCI Japan Screened UCITS ETF 4C - USD Hedged,"0,25%",Capitalisation,Réplication complète,IE00BTGD1B38
GQUS.L,Goldman Sachs Alpha Enhanced US Equity Active UCITS ETF USD (Acc),"0,20%",Capitalisation,Réplication complète,IE000HYFO765
IE000NA8E2W0.SG,L&G ESG USD Corporate Bond UCITS ETF EUR Hedged Acc,"0,12%",Capitalisation,Échantillonnage,IE000NA8E2W0
JEEG.DE,JPMorgan EUR Government Bond Active UCITS ETF EUR (dist),"0,15%",Distribution,Réplication complète,IE00081SF8K7
LU2662649412.SG,Xtrackers II US Treasuries 10+ UCITS ETF 1D,"0,06%",Distribution,Échantillonnage,LU2662649412
TPHG.L,Amundi Japan Topix UCITS ETF Daily Hedged GBP,"0,48%",Capitalisation,Basée sur swap non financé,LU1681038086
GGRE.MI,WisdomTree Global Quality Dividend Growth UCITS ETF EUR Hedged Acc,"0,43%",Capitalisation,Échantillonnage optimisé,IE0007M3MLF3
WTRE.L,WisdomTree New Economy Real Estate UCITS ETF USD Acc,"0,45%",Capitalisation,Réplication complète,IE000MO2MB07
CSP5.DE,Amundi Core S&P 500 UCITS ETF Acc,"0,05%",Capitalisation,Réplication complète,IE000UBAW7M3
XZDU.DE,Xtrackers MSCI USA High Dividend Yield ESG UCITS ETF 1D 1D,"0,25%",Distribution,Réplication complète,IE000V04SL39
IE000EKJRSZ3.SG,Vanguard ESG USD Corporate Bond UCITS ETF EUR Hedged Accumulating,"0,16%",Capitalisation,Échantillonnage,IE000EKJRSZ3
IE00018LB0D8.SG,Invesco S&P World Financials ESG UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,IE00018LB0D8
GQJY.DE,Goldman Sachs Alpha Enhanced Japan Equity Active UCITS ETF JPY (Acc),"0,25%",Capitalisation,Réplication complète,IE000ZUTO1I5
5HED.L,Ossiam ESG Low Carbon Shiller Barclays CAPE® US Sector UCITS ETF 1A (USD),"0,75%",Capitalisation,Réplication complète,IE00BF92LR56
JRUE.DE,JPMorgan USD Corporate Bond Research Enhanced Index (ESG) UCITS ETF EUR Hedged,"0,04%",Capitalisation,Réplication complète,IE0000J0F3C5
VGGU.L,Vanguard Global Government Bond UCITS ETF USD Hedged Accumulating,"0,10%",Capitalisation,Échantillonnage,IE0006YIB0U2
SAPA.L,SPDR MSCI ACWI Climate Paris Aligned UCITS ETF Acc USD,"0,20%",Capitalisation,Réplication complète,IE00BYTH5370
BS28.L,Invesco BulletShares 2028 USD Corporate Bond UCITS ETF Dist,"0,10%",Distribution,Échantillonnage,IE000A0RC215
SMDU.AS,iShares MSCI EMU SRI UCITS ETF EUR (Dist),"0,20%",Distribution,Réplication complète,IE00BJM0B415
IE000B9PQW54.SG,VanEck Genomics and Healthcare Innovators UCITS ETF A,"0,35%",Capitalisation,Réplication complète,IE000B9PQW54
JPHG.L,Amundi JPX Nikkei 400 UCITS ETF Daily Hedged GBP,"0,18%",Capitalisation,Basée sur swap non financé,LU1681039308
IUME.AS,iShares MSCI USA Momentum Factor Advanced UCITS ETF USD (Acc),"0,20%",Capitalisation,Réplication complète,IE0002PA3YE5
500D.L,Amundi S&P 500 UCITS ETF USD (D),"0,15%",Distribution,Basée sur swap non financé,LU2391437253
NXTU.L,First Trust Indxx NextG UCITS ETF Acc,"0,70%",Capitalisation,Réplication complète,IE00BWTNM743
US4E.DE,SPDR S&P 400 U.S. Mid Cap UCITS ETF EUR Hedged (Dist),"0,35%",Distribution,Réplication complète,IE000G8WOLX8
LWGB.DE,Amundi Euro Government Low Duration Tilted Green Bond UCITS ETF Acc,"0,14%",Capitalisation,Échantillonnage,LU2924150282
ENGS.MI,WisdomTree Natural Gas - EUR Daily Hedged,"0,49%",Capitalisation,Basée sur swap,JE00B6XF0923
GQEU.DE,Goldman Sachs Alpha Enhanced Europe Equity Active UCITS ETF CLASS EUR (Acc),"0,25%",Capitalisation,Réplication complète,IE000RITWOD4
GTIS.DE,Xtrackers World Small Cap Green Tech Innovators UCITS ETF 1C,"0,45%",Capitalisation,Réplication complète,LU2859297330
QUED.PA,BNP Paribas Easy ESG Quality Europe UCITS ETF,"0,31%",Distribution,Basée sur swap non financé,LU1481201611
JPCE.MI,JPMorgan Carbon Transition Global Equity (CTB) UCITS ETF EUR Hedged (acc),"0,19%",Capitalisation,Réplication complète,IE000W95TAE6
IE000ZOKLHY7.SG,Franklin Future Of Food UCITS ETF,"0,30%",Capitalisation,Réplication complète,IE000ZOKLHY7
IE000O8KMPM1.SG,WisdomTree BioRevolution UCITS ETF USD Acc,"0,45%",Capitalisation,Réplication complète,IE000O8KMPM1
SPF7.DE,SPDR MSCI Emerging Markets Climate Paris Aligned UCITS ETF USD Unhedged (Acc),"0,23%",Capitalisation,Réplication complète,IE00BYTH5263
IE000LGHLQ71.SG,Invesco BulletShares 2027 EUR Corporate Bond UCITS ETF Acc,"0,10%",Capitalisation,Échantillonnage,IE000LGHLQ71
V3SP.L,Vanguard ESG USD Corporate Bond UCITS ETF GBP Hedged Accumulating,"0,16%",Capitalisation,Échantillonnage,IE0000MOWF88
SC0Z.DE,Invesco European Utilities Sector UCITS ETF,"0,20%",Capitalisation,Basée sur swap non financé,IE00B5MTXK03
FUSV.DE,Fidelity US Quality Value UCITS ETF ACC-USD,"0,20%",Capitalisation,Réplication complète,IE000MKIH0W7
VALD.PA,BNP Paribas Easy ESG Value Europe UCITS ETF,"0,30%",Distribution,Basée sur swap non financé,LU1481201702
BX27.L,Invesco BulletShares 2027 USD Corporate Bond UCITS ETF Dist,"0,10%",Distribution,Échantillonnage,IE000BMDG046
DE000A3GTML1.SG,DDA Physical Ethereum ETP,"0,95%",Capitalisation,Physiquement garanti,DE000A3GTML1
ESPB.L,Invesco MSCI USA ESG Universal Screened UCITS ETF GBP Hedged Acc,"0,12%",Capitalisation,Échantillonnage optimisé,IE000T5R61X5
CGGD.AS,iShares Global Government Bond Climate UCITS ETF USD (Dist),"0,20%",Distribution,Échantillonnage,IE00BL0BMG90
GB00BNRRB013.SG,CoinShares Physical Staked Matic,"0,00%",Capitalisation,Physiquement garanti,GB00BNRRB013
NVDI.L,IncomeShares NVIDIA (NVDA) Options ETP,"0,55%",Distribution,Réplication complète,XS2852999692
U13E.L,Amundi US Treasury Bond 1-3Y UCITS ETF GBP Hedged Dist,"0,05%",Distribution,Réplication complète,LU1407887675
CEMA.DE,iShares MSCI World Swap UCITS ETF EUR Hedged (Acc),"0,12%",Capitalisation,Basée sur swap non financé,IE0002VEN3U3
GSBG.L,Goldman Sachs Global Green Bond UCITS ETF USD Hedged (Dist),"0,22%",Distribution,Réplication complète,IE000REVDBO3
EWAT.MI,WisdomTree Wheat - EUR Daily Hedged,"0,49%",Capitalisation,Basée sur swap,JE00B78NNK09
BS30.L,Invesco BulletShares 2030 USD Corporate Bond UCITS ETF Dist,"0,10%",Distribution,Échantillonnage,IE000GB2EQ90
CYBO.SW,VanEck Bionic Engineering UCITS ETF A,"0,55%",Capitalisation,Réplication complète,IE0005TF96I9
MPXG.L,Amundi MSCI Pacific Ex Japan SRI Climate Paris Aligned UCITS ETF DR - GBP (D),"0,15%",Distribution,Réplication complète,LU2469335298
IE00BKWD3743.SG,Invesco US Treasury Bond 10+ Year UCITS ETF Dist,"0,06%",Distribution,Échantillonnage,IE00BKWD3743
DE000A3GSUC5.SG,VanEck Polkadot ETN,"1,50%",Capitalisation,Physiquement garanti,DE000A3GSUC5
JEIG.DE,JPMorgan Global IG Corporate Bond Active UCITS ETF EUR Hedged (acc),"0,25%",Capitalisation,Réplication complète,IE00048C5NZ0
TSLI.L,IncomeShares Tesla (TSLA) Options ETP,"0,55%",Distribution,Réplication complète,XS2852999429
XG12.L,Xtrackers MSCI Global Circular Economy UCITS ETF 1C 1C,"0,35%",Capitalisation,Réplication complète,IE000Y6ZXZ48
8R80.DE,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - CHF Hedged (C),"0,20%",Capitalisation,Réplication complète,LU1646360039
GB00B15KYC19.SG,WisdomTree Petroleum,"0,49%",Capitalisation,Basée sur swap,GB00B15KYC19
LU2641053827.SG,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 0-1 UCITS ETF 1C,"0,07%",Capitalisation,Échantillonnage optimisé,LU2641053827
DE000A3GVKY4.SG,Bitwise Physical Cardano ETP,"1,95%",Capitalisation,Physiquement garanti,DE000A3GVKY4
IE0001VDDL68.SG,Invesco Global High Yield Corporate Bond ESG Climate Transition UCITS ETF Acc,"0,25%",Capitalisation,Échantillonnage,IE0001VDDL68
IE000Z9UVQ99.SG,L&G Asia Pacific ex Japan ESG Exclusions Paris Aligned UCITS ETF USD Accumulating ETF,"0,16%",Capitalisation,Échantillonnage optimisé,IE000Z9UVQ99
XM27.DE,Xtrackers II Target Maturity Sept 2027 EUR Corporate Bond UCITS ETF 1C,"0,12%",Capitalisation,Échantillonnage,LU2673522830
EPAZ.DE,Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Dist,"0,20%",Distribution,Réplication complète,LU2932780914
IE000WX2HZQ7.SG,First Trust Vest U.S. Equity Buffer UCITS ETF - April Class A Accumulation,"0,85%",Capitalisation,Réplication complète,IE000WX2HZQ7
BCFN.DE,UBS Nasdaq-100 UCITS ETF USD dis,"0,13%",Distribution,Réplication complète,IE0003RQ9F90
CNEW.L,VanEck New China UCITS ETF A,"0,60%",Capitalisation,Réplication complète,IE0000H445G8
BU26.L,Invesco BulletShares 2026 USD Corporate Bond UCITS ETF Dist,"0,10%",Distribution,Échantillonnage,IE000O36LOH8
GB00B15KXW40.SG,WisdomTree Gasoline,"0,49%",Capitalisation,Basée sur swap,GB00B15KXW40
WCCA.L,WisdomTree California Carbon,"0,49%",Capitalisation,Basée sur swap,JE00BNG8LN89
LU2090062782.SG,Amundi Euro Government Bond 15+Y UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU2090062782
IE000W85O7M4.SG,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),"0,20%",Capitalisation,Réplication complète,IE000W85O7M4
IE0006FDYJF8.SG,Xtrackers MSCI Japan Climate Transition UCITS ETF 1D 1D,"0,04%",Distribution,Réplication complète,IE0006FDYJF8
IE000N42HDP2.SG,Invesco Global Active Defensive ESG Equity UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,IE000N42HDP2
XZWG.DE,Xtrackers II ESG Global Government Bond UCITS ETF 1D,"0,20%",Distribution,Échantillonnage optimisé,LU2385068163
LU1169821029.SG,UBS MSCI United Kingdom UCITS ETF hEUR dis,"0,23%",Distribution,Réplication complète,LU1169821029
IE00BDB7J586.SG,Xtrackers MSCI USA Minimum Volatility UCITS ETF 1D,"0,20%",Distribution,Réplication complète,IE00BDB7J586
IE000DS9ZCL4.SG,JPMorgan China A Research Enhanced Index Equity (ESG) UCITS ETF USD (dist),"0,40%",Distribution,Réplication complète,IE000DS9ZCL4
IE00BN4Q0L55.SG,UBS MSCI EMU Climate Paris Aligned UCITS ETF EUR acc,"0,14%",Capitalisation,Réplication complète,IE00BN4Q0L55
V3GD.L,Vanguard ESG Global Corporate Bond UCITS ETF USD Hedged Distributing,"0,15%",Distribution,Échantillonnage,IE00BNDS1X14
EFRW.DE,iShares S&P 500 Equal Weight UCITS ETF EUR Hedged (Acc),"0,17%",Capitalisation,Réplication complète,IE000DVLBQ03
FTGV.MU,First Trust United Kingdom AlphaDEX UCITS ETF Dist,"0,65%",Distribution,Réplication complète,IE00BD9N0445
IE00BQQPV184.SG,SPDR MSCI Japan Climate Paris Aligned UCITS ETF JPY Unhedged,"0,12%",Capitalisation,Réplication complète,IE00BQQPV184
V3RP.L,Vanguard ESG EUR Corporate Bond UCITS ETF GBP Hedged Accumulating,"0,14%",Capitalisation,Échantillonnage,IE000UQLOH05
H41R.DE,HSBC Global Corporate Bond UCITS ETF C EUR Hedged,"0,13%",Capitalisation,Échantillonnage,IE000MY0C911
IE0008RX29L5.SG,Invesco Wind Energy UCITS ETF Acc,"0,60%",Capitalisation,Réplication complète,IE0008RX29L5
LU2662649503.SG,Xtrackers II US Treasuries 3-7 UCITS ETF 1D,"0,06%",Distribution,Échantillonnage,LU2662649503
IE000EPX8KB7.SG,Global X S&P 500 Quarterly Tail Hedge UCITS ETF USD Accumulating,"0,50%",Capitalisation,Basée sur swap non financé,IE000EPX8KB7
GB00B15KYJ87.SG,WisdomTree Softs,"0,49%",Capitalisation,Basée sur swap,GB00B15KYJ87
CWEUSD.SW,Amundi Global Bioenergy UCITS ETF USD Acc,"0,35%",Capitalisation,Réplication complète,LU1681046188
SE0024738389.SG,Virtune Coinbase 50 Index ETP,"0,95%",Capitalisation,Physiquement garanti,SE0024738389
IE0004QWOTD5.SG,Invesco BulletShares 2026 EUR Corporate Bond UCITS ETF Acc,"0,10%",Capitalisation,Échantillonnage,IE0004QWOTD5
BJLZ.DE,BNP Paribas Easy Sustainable EUR Corporate Bond December 2029 UCITS ETF Dist,"0,12%",Distribution,Réplication complète,LU2823896738
LU2662649685.SG,Xtrackers II US Treasuries 7-10 UCITS ETF 1D,"0,06%",Distribution,Échantillonnage,LU2662649685
AHYG.DE,Amundi Global Aggregate SRI 1-5 UCITS ETF DR USD (C),"0,14%",Capitalisation,Échantillonnage,LU2470620761
CH0491507486.SG,21Shares Tezos Staking ETP,"2,50%",Capitalisation,Physiquement garanti,CH0491507486
FWSD.L,Invesco FTSE All-World UCITS ETF GBP PfHdg Dist,"0,20%",Distribution,Échantillonnage,IE000UJC4MR1
DE000A3GXNT4.SG,VanEck Smart Contract Leaders ETN,"1,50%",Capitalisation,Physiquement garanti,DE000A3GXNT4
ISRJ.PA,Amundi Label ISR Actions Japon UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,FR001400SDJ6
